train_loss,epoch,step
4.926403045654297,49,49
3.056540012359619,99,99
3.0680346488952637,149,149
3.0616934299468994,199,199
3.0777297019958496,249,249
3.048252582550049,299,299
3.062948703765869,349,349
3.0231804847717285,399,399
3.0204720497131348,449,449
3.020078182220459,499,499
